dataset,branch_length,pi.a,pi.c,pi.g,pi.t,sigma.ac,sigma.ag,sigma.at,sigma.cg,sigma.ct,sigma.gt,omega,rho.phase0,rho.phase1,rho.phase2,avg_gap_length
ATGC155,0.819647476928051,0.412272227829682,0.099849220705551,0.137671255093684,0.350207296371083,2.09181491527047,2.61140451301866,0.687731972962597,1.91663834590056,2.74454102588798,0.913834692745874,0.126271265336796,0.0015009781338747136,8.020716974060111e-4,0.0011150408643241638,12.3469013904444
ATGC159,0.975639936036424,0.174712666176976,0.325095230951746,0.309007980824817,0.191184122046461,0.841148363454905,2.94306822227078,0.78457795706973,0.731952677008937,2.37802849018773,0.775200212301504,0.0613908673375876,7.030589920720611e-4,4.372088255230428e-4,5.735450781136153e-4,13.4297707398554
ATGC169,0.653064449029791,0.14914799552906,0.342978740382516,0.344319935218858,0.163553328869566,1.31973974816663,2.5251518512597,1.20041174254744,1.07722895502027,1.91316145444314,0.692438955993561,0.102027392936419,0.0031889757318527747,0.0023460720866987006,0.00300484673184788,12.9264748550037
ATGC171,0.755798473110975,0.381950508007433,0.119045470585828,0.203967413953197,0.295036607453542,1.13636432859608,2.5354649366998,0.663078380079947,1.40839521821126,2.68423166673932,0.791091678004639,0.0826418973056293,7.462871307131092e-4,4.589806202283446e-4,5.740501057112218e-4,11.4755936221693
ATGC173,0.574956886760179,0.167951815711736,0.333997963597473,0.333970705721902,0.164079514968889,1.05576651345965,2.13819300492829,1.26021948366036,1.24094221802056,1.93117372537487,0.763903772185521,0.11552179829847,0.0038689726490468835,0.0027062658996438236,0.003302851532343683,12.9743165199412
ATGC178,0.600906827769826,0.384175274446316,0.11968305214797,0.174053285387613,0.322088388018101,1.60363718081046,2.02281749916588,0.967264387812396,1.2787047526547899,2.42273092999677,0.914882896589728,0.0961705034046159,9.792307399269467e-4,5.245454219632177e-4,7.194908247839522e-4,12.2489237413771
ATGC181,1.28411730375129,0.363308095971771,0.129764442824037,0.208033291670202,0.29889416953399,1.32562762530707,2.28844569755786,0.868959028684417,1.68712460771187,2.00039955861717,0.756680729063697,0.0708287419467269,9.662965935476295e-4,6.238526110645575e-4,8.273249397008122e-4,13.8106458104285
ATGC182,1.16005316369931,0.375011351918178,0.125489912702378,0.206231593222456,0.293267142156987,1.01912152912829,2.37761630338617,0.963011798020464,0.944085128903413,2.39974346768201,0.818407273709439,0.05972260427126,5.518333398150174e-4,3.3269393497246464e-4,3.8710005567131085e-4,12.3402610150218
ATGC186,0.977905194861579,0.314852049233312,0.165084650157295,0.212252286236857,0.307811014372536,1.60376399387521,1.86731461875118,0.642382602262613,1.78638270315456,1.95574045391779,1.035002842069,0.0685317591286809,0.001265337515944691,7.500044119692769e-4,8.93021933110173e-4,13.49141199911
ATGC188,0.52536367406997,0.163115026443872,0.34309959214677,0.34057477582601,0.153210605583348,0.86619326038996,2.10889256249434,1.08484710151725,1.42927991190119,2.1103383393321,0.561739826922569,0.0939095970961508,0.003097643871875291,0.0021171907277425773,0.0026707107750746535,12.846812835423
ATGC192,1.54374874383673,0.330688904780968,0.151836461397262,0.202805817266777,0.314668816554994,1.79488322207429,2.45170190066546,0.571039710570101,1.20039025906866,1.95516657260407,0.872084747103077,0.0587522377025127,6.709478380343507e-4,4.0397282285272547e-4,4.885070486274164e-4,13.5796544576995
ATGC201,1.1307717882197,0.312084150728733,0.152217329436388,0.204472801239402,0.331225718595476,1.26194086866652,3.30343342768504,0.386881968650929,0.694540929286047,2.42884513840125,0.66714466556099,0.118272470747974,8.614519685199341e-4,5.276509273948127e-4,7.103673541309558e-4,12.3624756304139
ATGC202,0.829624751173545,0.282242666272308,0.223731367762825,0.274640188888928,0.219385777075939,1.49369014720916,1.85582677435335,0.483658318497943,1.11993812009113,1.59093762617457,1.41026839781509,0.087831297270584,0.0019117168977588607,0.0012170400347497003,0.0015143482605795532,12.9713472112874
ATGC223,1.11321757057411,0.413488150715422,0.0982531543597056,0.143979035921356,0.344279659003516,2.00684529296989,2.80708294946459,0.748838997391995,1.05666515649344,2.41433207827825,0.971071467805348,0.110265296639967,0.002689748395347841,0.0018365192197842607,0.002201667377156621,11.7624933546431
ATGC232,0.762612781629014,0.192573779466116,0.309907494172487,0.311151596536994,0.186367129824403,0.947377907352857,2.40332542603496,1.00148197175562,0.907256831901444,2.11107281704182,0.932909401833786,0.0735730492511347,0.0011664604656016074,8.139726985503899e-4,9.74615561736255e-4,13.1016880564537
ATGC235,1.0011870207733,0.323271422737974,0.175402105203046,0.20707458628183,0.29425188577715,1.33508189087911,1.97848788120826,1.00685781592549,1.35070446349414,2.01323728560576,0.707542690585354,0.061976167376147,8.556610438493698e-4,5.360528453055944e-4,6.540792945719193e-4,13.2096315066804
ATGC239,0.786827690399947,0.187701196419651,0.293581656573331,0.317115467203483,0.201601679803535,0.974818920194967,2.38993063737272,0.797622908441408,0.98456274593372906,2.45383098526076,0.577929595627008,0.0647897210930666,0.0014376484762474594,9.490107322105208e-4,0.0011691207880804436,14.0805158880438
ATGC242,0.85810994921755,0.22722122871705,0.271196686082006,0.287571430122899,0.214010655078045,1.23158765172474,2.02938193691201,0.874989155520162,1.03792713857256,2.19231971530404,0.662426214895462,0.0822083089272799,0.0018605266984706784,0.0012103119563122212,0.001381917801644003,13.6293799497951
ATGC243,1.19091169068872,0.276914952310717,0.225043655814639,0.252700477527943,0.245340914346701,1.10116220813708,2.04354858331535,0.951834136974096,1.16671563428378,2.0319983584918,0.728575391241975,0.0621153059198517,0.0016804443370833355,9.830986451651517e-4,0.001292433945676418,14.2601404299033
ATGC244,1.07983157562236,0.286178908594277,0.198478548589359,0.233285812070581,0.282056730745784,1.22975439172236,2.34438755368169,0.562455291914702,1.14643265446074,2.22150566960165,0.771838894828395,0.0623580188804439,9.70376124206296e-4,6.247690862315135e-4,7.379263286867526e-4,13.8577259352006
ATGC246,0.668370758077353,0.325562137880042,0.146720230053332,0.198020131139773,0.329697500926853,1.47158723690956,3.01802119742481,0.316555346476542,0.752911817399527,2.41970595754273,0.953332449588255,0.172047671390952,0.0016596244326624226,0.0011106101795036792,0.001142963997164827,11.5996109559737
ATGC258,1.08701177551127,0.368212683596671,0.117771037409259,0.195825938721502,0.318190340272569,0.93329656729683,3.20653943403089,0.517719357582537,0.876077310608651,2.91115651988436,0.615717242403252,0.0643909643471993,4.386072680115437e-4,2.748332427908679e-4,2.9170574727786444e-4,10.2089058571294
ATGC260,0.777732696777288,0.400596958016074,0.0828008179623647,0.173408381223682,0.343193842797879,1.15564195648005,3.33953237387747,0.470901464542989,1.5431290214865,3.10379263874532,0.917177070494349,0.104316026255713,7.952652984305155e-4,5.100515429944805e-4,5.518407547332624e-4,10.9599334320953
ATGC277,0.553791667614648,0.183260318921811,0.329772110012049,0.330845831338075,0.156121739728066,0.968227136801157,2.46447820629621,1.00865569045122,1.11902089150307,1.96355110906062,0.774834135067041,0.106349389469515,0.0025321633060203922,0.0018746100732241907,0.0022843922500704683,12.7465171918736
ATGC279,1.83928312857787,0.332170280071665,0.169659920022495,0.238789624220435,0.259380175685405,0.939835151826966,2.85002251278535,0.520195561106901,1.04356583287758,2.18173026181581,0.611374679248635,0.0523159232667222,4.072902901335224e-4,2.462496071574054e-4,2.903962929763823e-4,11.7401590979759
ATGC301,0.726501810756061,0.182572753036618,0.323235480688594,0.318389128902016,0.175802637372772,1.02430987474377,2.3141210589788,1.09208589820265,1.00545576922346,2.20374750097498,0.737408943723655,0.0838107805134053,0.0024496217149221097,0.0015621933960331602,0.0018755777301880689,13.8357939922713
ATGC309,0.84339666508128,0.388333040013117,0.105510564645713,0.168863030517993,0.337293364823178,1.42166822523234,2.36048987200855,0.95520247133009,1.58238647393246,2.7588835058183,0.622748907256748,0.0669727823215078,9.461096744005521e-4,5.719341075342081e-4,7.065739294105493e-4,12.7786020411329
ATGC330,0.894671317737646,0.18004358422652,0.325344657672454,0.303092200239197,0.191519557861829,1.04477954727629,2.26703800034794,1.1242232093172,0.902808544369874,2.06766265849321,1.00713762868438,0.0588199847107918,0.0014425411799798948,8.710272166456074e-4,0.0011627449730593335,13.5573081498209
ATGC332,0.59899340800585,0.148362257658563,0.380263881459033,0.326171658558282,0.145202202324122,1.05826125328234,1.98492381415699,1.52773122496147,1.71859173008136,1.12701020305638,0.758945771985726,0.125222129742143,0.005904490870283353,0.003895622620667427,0.005102839939206336,13.4791020340413
ATGC339,0.947096376345335,0.170659371705357,0.32164832568646,0.319737490752947,0.187954811855236,1.02276276771938,2.12006946524231,1.11257531307014,1.1299059964527,2.09085408351989,0.830011715530916,0.064026635633838,0.0016421991261243473,0.0011897882966204847,0.0014315250534948567,13.8837006078518
ATGC341,0.779649464012939,0.201425567944372,0.310182189050533,0.305133373454661,0.183258869550433,1.03190614521563,2.30627458396833,1.10309855923519,0.932098063949258,2.08487117214222,0.828526316436487,0.0787958968728624,0.0025423377278785625,0.0013838808197513452,0.001998915354738254,13.9222235970866
ATGC352,0.327375295994595,0.153401498770779,0.351932847759733,0.350495373624587,0.144170279844902,1.00833191092828,2.30180856350864,0.894448689255382,1.31553602104134,2.23279589171501,0.523653093336448,0.158612033718792,0.0064990797984759196,0.004241407707881107,0.004977496142064338,12.7633515652215
ATGC361,0.5743503312057,0.233674147072335,0.248541281555107,0.298683649503425,0.219100921869133,1.118936965542,2.06434430445849,1.04443041026521,0.85173800940841,2.1192844618403,0.898899704125987,0.0971000084596091,0.0013927493371108488,8.700348338289059e-4,0.0010745778123124885,12.8265417924216
ATGC369,0.835131146511201,0.360789143017083,0.140364486317671,0.193294748773154,0.305551621892093,1.39938002629971,2.09957561769195,0.786182959364043,1.27288812575669,2.48024024848396,0.933481057318267,0.071777151789617,9.085371937982057e-4,5.468801330468535e-4,5.987748756853843e-4,12.2566657462063
ATGC371,1.41948670740819,0.338853437732148,0.165832457962936,0.220103225064318,0.275210879240599,1.02545828492318,2.52875176781877,0.701846375266946,1.15705658754006,2.27375797084461,0.69862618174577,0.0535357640342238,5.99056706869312e-4,3.717838802810172e-4,4.534008372190328e-4,13.3715621275589
ATGC372,1.31908494727435,0.260832783736271,0.231391388976623,0.284520584731078,0.223255242556028,0.815772816729954,2.52071827870622,0.751214244879963,1.28497160099534,1.85011108129486,0.626234250480131,0.0738129335366226,5.25719879380791e-4,3.2080777947434357e-4,4.283226339669827e-4,13.1926955821591
ATGC374,1.12474467002236,0.177142881226687,0.337392885098436,0.312579256056735,0.172884977618142,1.21118468070799,2.03155342388226,1.25480423020658,1.16316336972831,1.60745761115971,1.11509966035488,0.0468168908540757,0.0013166321225524004,9.577597945889556e-4,0.0010864905268872297,14.090070878836
ATGC376,0.920819690642383,0.196379429241353,0.31589027033332,0.300407007824617,0.18732329260071,1.21377577825495,1.96529190879993,1.320747646099,1.05446540813144,1.82069115926569,0.930773073699976,0.0719586361933798,0.0021540072965193645,0.001366865870021372,0.001642254301480755,14.3960537298049
ATGC389,1.35516204113665,0.349729976279702,0.158368469692693,0.201603081180848,0.290298472846757,1.61792890376607,1.9416302484586,0.991252618145552,1.51468301188713,1.8710944009526,0.657345161906472,0.0572259776693861,0.001020902036592792,6.45031988696407e-4,8.137687846215844e-4,14.292647709093
ATGC393,0.656293339567039,0.20469312152335,0.299503344779157,0.304050202912559,0.191753330784934,0.977479662434398,2.20382682515264,0.981817516566959,0.924141865634874,2.43634588450824,0.691231186695587,0.0721986200872626,0.0019754983972816594,0.0013394526376859822,0.0015288136227469167,12.833684659196
ATGC420,0.736742133930437,0.160795164744725,0.335315323235073,0.346878153935115,0.157011358085087,1.07228263572265,1.9781652646121,1.15287275179734,1.41738288004166,1.91286216342324,0.68256036310446,0.0901169429764393,0.003771140808375902,0.002277190944784774,0.0030900885812133205,14.2872639094252
ATGC428,1.32015691527575,0.331694891347385,0.163745576719294,0.210915139834196,0.293644392099124,1.36207544910911,2.00651580767594,1.1972581234792,1.05897954970152,1.73410707312805,0.792428262280899,0.057186469314713,6.435731656398548e-4,3.7962405182603566e-4,4.573889308377989e-4,14.2133063433961
ATGC431,1.30633161104041,0.264644498005784,0.210650336593966,0.245211242760217,0.279493922640033,1.37830558120254,2.00252262873125,0.836117816516478,1.37131771075721,1.82935156681254,0.770833965968591,0.0452331361313174,0.0011581566167904525,6.788080479298099e-4,8.394431824740358e-4,14.4573209281175
